Animal,File,Box,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,ROI_coordinates,bin,range(f),light,dark,Distance_px,Distance_in
33,ms33-36_2021-04-14 16-58-15.mkv,1,99,TRUE,0.9,50,1950,"{'xs': [[2.7385481366459627, 136.8006599378882, 138.5646350931677, 1.8565605590062113], [1.8565605590062113, 138.5646350931677, 138.5646350931677, 3.6205357142857144, 3.6205357142857144]], 'ys': [[2.457236842105254, 5.720394736842096, 137.8782894736842, 142.77302631578945], [142.77302631578945, 137.8782894736842, 278.1940789473684, 276.5625, 276.5625]]}",0,"(0, 1800)",0.3231538,0.67906718,1564.94471,109.589006
34,ms33-36_2021-04-14 16-58-15.mkv,2,99,TRUE,0.9,50,1950,"{'xs': [[0.9826061320754725, 134.88826650943395, 135.77505896226415, 0.9826061320754725], [0.9826061320754725, 135.77505896226415, 137.5486438679245, 2.75619103773585]], 'ys': [[2.431071428571408, 2.431071428571408, 138.27107142857142, 138.27107142857142], [138.27107142857142, 138.27107142857142, 280.57964285714286, 280.57964285714286]]}",0,"(0, 1800)",0.14658523,0.86063298,1169.104,80.2800973
35,ms33-36_2021-04-14 16-58-15.mkv,3,99,TRUE,0.9,50,1950,"{'xs': [[0.9826061320754725, 137.5486438679245, 135.77505896226415, 0.9826061320754725], [0.9826061320754725, 135.77505896226415, 138.43543632075472, 2.75619103773585]], 'ys': [[2.457236842105254, 2.457236842105254, 139.50986842105263, 139.50986842105263], [139.50986842105263, 139.50986842105263, 276.5625, 274.93092105263156]]}",0,"(0, 1800)",0.13881177,0.86618545,1332.2492,87.6768149
36,ms33-36_2021-04-14 16-58-15.mkv,4,99,TRUE,0.9,50,1950,"{'xs': [[2.7213381901840523, 139.58023389570553, 139.58023389570553, 4.475939417177917], [4.475939417177917, 139.58023389570553, 138.7029332822086, 4.475939417177917]], 'ys': [[2.4639705882352794, 2.4639705882352794, 138.19338235294117, 134.92279411764704], [134.92279411764704, 138.19338235294117, 273.9227941176471, 275.5580882352941]]}",0,"(0, 1800)",0.0849528,0.91560244,932.36534,59.2006184
5,ms5-8_2021-04-13 13-58-22.mkv,1,99,TRUE,0.9,50,1950,"{'xs': [[3.6429834905660385, 134.88826650943395, 136.66185141509433, 2.75619103773585], [2.75619103773585, 136.66185141509433, 136.66185141509433, 2.75619103773585]], 'ys': [[4.0383522727272405, 4.0383522727272405, 144.42471590909088, 141.19744318181816], [141.19744318181816, 144.42471590909088, 279.97017045454544, 279.97017045454544]]}",0,"(0, 1800)",0.503609106,0.498056635,1923.780465,135.2596057
6,ms5-8_2021-04-13 13-58-22.mkv,2,99,TRUE,0.9,50,1950,"{'xs': [[0.9667369631901872, 136.94833205521473, 137.82563266871165, 2.7213381901840523], [2.7213381901840523, 137.82563266871165, 137.82563266871165, 2.7213381901840523]], 'ys': [[2.424715909090877, 4.0383522727272405, 141.19744318181816, 141.19744318181816], [141.19744318181816, 141.19744318181816, 279.97017045454544, 278.35653409090907]]}",0,"(0, 1800)",0.37201555,0.6285397,2231.74211,160.309027
7,ms5-8_2021-04-13 13-58-22.mkv,3,99,TRUE,0.9,50,1950,"{'xs': [[1.8565605590062113, 139.44662267080747, 135.91867236024845, 0.9745729813664598], [0.9745729813664598, 135.91867236024845, 137.68264751552795, 4.502523291925466]], 'ys': [[2.4440028901734, 2.4440028901734, 138.8833092485549, 140.5075867052023], [140.5075867052023, 138.8833092485549, 276.9468930635838, 275.3226156069364]]}",0,"(0, 1800)",0.26985008,0.73292615,1891.51668,130.250681
8,ms5-8_2021-04-13 13-58-22.mkv,4,99,TRUE,0.9,50,1950,"{'xs': [[0.9908439490445882, 137.42396496815286, 135.640525477707, 3.666003184713378, 3.666003184713378], [3.666003184713378, 135.640525477707, 135.640525477707, 3.666003184713378]], 'ys': [[2.457236842105254, 2.457236842105254, 137.8782894736842, 139.50986842105263, 139.50986842105263], [139.50986842105263, 137.8782894736842, 274.93092105263156, 274.93092105263156]]}",0,"(0, 1800)",0.03109384,0.97112715,490.585105,32.2825038
9,ms9-12_2021-04-13 14-14-01.mkv,1,99,TRUE,0.9,50,1950,"{'xs': [[3.6429834905660385, 134.88826650943395, 136.66185141509433, 2.75619103773585], [2.75619103773585, 136.66185141509433, 136.66185141509433, 2.75619103773585]], 'ys': [[4.0383522727272405, 4.0383522727272405, 144.42471590909088, 141.19744318181816], [141.19744318181816, 144.42471590909088, 279.97017045454544, 279.97017045454544]]}",0,"(0, 1800)",0.069405886,0.933925597,1695.465972,119.2069798
10,ms9-12_2021-04-13 14-14-01.mkv,2,99,TRUE,0.9,50,1950,"{'xs': [[0.9667369631901872, 136.94833205521473, 137.82563266871165, 2.7213381901840523], [2.7213381901840523, 137.82563266871165, 137.82563266871165, 2.7213381901840523]], 'ys': [[2.424715909090877, 4.0383522727272405, 141.19744318181816, 141.19744318181816], [141.19744318181816, 141.19744318181816, 279.97017045454544, 278.35653409090907]]}",0,"(0, 1800)",0.20599667,0.79455858,1694.16607,121.694219
11,ms9-12_2021-04-13 14-14-01.mkv,3,99,TRUE,0.9,50,1950,"{'xs': [[1.8565605590062113, 139.44662267080747, 135.91867236024845, 0.9745729813664598], [0.9745729813664598, 135.91867236024845, 137.68264751552795, 4.502523291925466]], 'ys': [[2.4440028901734, 2.4440028901734, 138.8833092485549, 140.5075867052023], [140.5075867052023, 138.8833092485549, 276.9468930635838, 275.3226156069364]]}",0,"(0, 1800)",0.25152693,0.74736258,1541.35854,106.138636
12,ms9-12_2021-04-13 14-14-01.mkv,4,99,TRUE,0.9,50,1950,"{'xs': [[0.9908439490445882, 137.42396496815286, 135.640525477707, 3.666003184713378, 3.666003184713378], [3.666003184713378, 135.640525477707, 135.640525477707, 3.666003184713378]], 'ys': [[2.457236842105254, 2.457236842105254, 137.8782894736842, 139.50986842105263, 139.50986842105263], [139.50986842105263, 137.8782894736842, 274.93092105263156, 274.93092105263156]]}",0,"(0, 1800)",0.14769572,0.85563576,1913.54922,125.919355
1,ms1-4_2021-04-13 13-42-00.mkv,1,99,TRUE,0.9,50,1950,"{'xs': [[3.6429834905660385, 134.88826650943395, 136.66185141509433, 2.75619103773585], [2.75619103773585, 136.66185141509433, 136.66185141509433, 2.75619103773585]], 'ys': [[4.0383522727272405, 4.0383522727272405, 144.42471590909088, 141.19744318181816], [141.19744318181816, 144.42471590909088, 279.97017045454544, 279.97017045454544]]}",1,"(1800, 3600)",0.316490838,0.683509162,1461.073817,102.7270378
2,ms1-4_2021-04-13 13-42-00.mkv,2,99,TRUE,0.9,50,1950,"{'xs': [[0.9667369631901872, 136.94833205521473, 137.82563266871165, 2.7213381901840523], [2.7213381901840523, 137.82563266871165, 137.82563266871165, 2.7213381901840523]], 'ys': [[2.424715909090877, 4.0383522727272405, 141.19744318181816, 141.19744318181816], [141.19744318181816, 141.19744318181816, 279.97017045454544, 278.35653409090907]]}",1,"(1800, 3600)",0.19044975,0.81177124,1428.15477,102.586271
3,ms1-4_2021-04-13 13-42-00.mkv,3,99,TRUE,0.9,50,1950,"{'xs': [[1.8565605590062113, 139.44662267080747, 135.91867236024845, 0.9745729813664598], [0.9745729813664598, 135.91867236024845, 137.68264751552795, 4.502523291925466]], 'ys': [[2.4440028901734, 2.4440028901734, 138.8833092485549, 140.5075867052023], [140.5075867052023, 138.8833092485549, 276.9468930635838, 275.3226156069364]]}",1,"(1800, 3600)",0.35036091,0.65408107,1608.54107,110.764855
4,ms1-4_2021-04-13 13-42-00.mkv,4,99,TRUE,0.9,50,1950,"{'xs': [[0.9908439490445882, 137.42396496815286, 135.640525477707, 3.666003184713378, 3.666003184713378], [3.666003184713378, 135.640525477707, 135.640525477707, 3.666003184713378]], 'ys': [[2.457236842105254, 2.457236842105254, 137.8782894736842, 139.50986842105263, 139.50986842105263], [139.50986842105263, 137.8782894736842, 274.93092105263156, 274.93092105263156]]}",1,"(1800, 3600)",0.16379789,0.8384231,1429.6859,94.0791719
13,ms13-16_2021-04-13 14-28-56.mkv,1,99,TRUE,0.9,50,1950,"{'xs': [[3.6429834905660385, 134.88826650943395, 136.66185141509433, 2.75619103773585], [2.75619103773585, 136.66185141509433, 136.66185141509433, 2.75619103773585]], 'ys': [[4.0383522727272405, 4.0383522727272405, 144.42471590909088, 141.19744318181816], [141.19744318181816, 144.42471590909088, 279.97017045454544, 279.97017045454544]]}",1,"(1800, 3600)",0,1,630.7099014,44.34475459
14,ms13-16_2021-04-13 14-28-56.mkv,2,99,TRUE,0.9,50,1950,"{'xs': [[0.9667369631901872, 136.94833205521473, 137.82563266871165, 2.7213381901840523], [2.7213381901840523, 137.82563266871165, 137.82563266871165, 2.7213381901840523]], 'ys': [[2.424715909090877, 4.0383522727272405, 141.19744318181816, 141.19744318181816], [141.19744318181816, 141.19744318181816, 279.97017045454544, 278.35653409090907]]}",1,"(1800, 3600)",0.12159911,0.87840089,1371.58164,98.5225473
15,ms13-16_2021-04-13 14-28-56.mkv,3,99,TRUE,0.9,50,1950,"{'xs': [[1.8565605590062113, 139.44662267080747, 135.91867236024845, 0.9745729813664598], [0.9745729813664598, 135.91867236024845, 137.68264751552795, 4.502523291925466]], 'ys': [[2.4440028901734, 2.4440028901734, 138.8833092485549, 140.5075867052023], [140.5075867052023, 138.8833092485549, 276.9468930635838, 275.3226156069364]]}",1,"(1800, 3600)",0.3053859,0.6957246,1909.42643,131.483955
16,ms13-16_2021-04-13 14-28-56.mkv,4,99,TRUE,0.9,50,1950,"{'xs': [[0.9908439490445882, 137.42396496815286, 135.640525477707, 3.666003184713378, 3.666003184713378], [3.666003184713378, 135.640525477707, 135.640525477707, 3.666003184713378]], 'ys': [[2.457236842105254, 2.457236842105254, 137.8782894736842, 139.50986842105263, 139.50986842105263], [139.50986842105263, 137.8782894736842, 274.93092105263156, 274.93092105263156]]}",1,"(1800, 3600)",0.14936147,0.85063853,1445.33029,95.1086371
17,ms17-20_2021-04-14 15-57-09.mkv,1,99,TRUE,0.9,50,1950,"{'xs': [[2.7385481366459627, 136.8006599378882, 138.5646350931677, 1.8565605590062113], [1.8565605590062113, 138.5646350931677, 138.5646350931677, 3.6205357142857144, 3.6205357142857144]], 'ys': [[2.457236842105254, 5.720394736842096, 137.8782894736842, 142.77302631578945], [142.77302631578945, 137.8782894736842, 278.1940789473684, 276.5625, 276.5625]]}",1,"(1800, 3600)",0.28983898,0.71127152,1642.40644,115.01345
18,ms17-20_2021-04-14 15-57-09.mkv,2,99,TRUE,0.9,50,1950,"{'xs': [[0.9826061320754725, 134.88826650943395, 135.77505896226415, 0.9826061320754725], [0.9826061320754725, 135.77505896226415, 137.5486438679245, 2.75619103773585]], 'ys': [[2.431071428571408, 2.431071428571408, 138.27107142857142, 138.27107142857142], [138.27107142857142, 138.27107142857142, 280.57964285714286, 280.57964285714286]]}",1,"(1800, 3600)",0.00111049,1,964.796214,66.2506788
19,ms17-20_2021-04-14 15-57-09.mkv,3,99,TRUE,0.9,50,1950,"{'xs': [[0.9826061320754725, 137.5486438679245, 135.77505896226415, 0.9826061320754725], [0.9826061320754725, 135.77505896226415, 138.43543632075472, 2.75619103773585]], 'ys': [[2.457236842105254, 2.457236842105254, 139.50986842105263, 139.50986842105263], [139.50986842105263, 139.50986842105263, 276.5625, 274.93092105263156]]}",1,"(1800, 3600)",0.10327596,0.89950028,1291.86486,85.0190762
20,ms17-20_2021-04-14 15-57-09.mkv,4,99,TRUE,0.9,50,1950,"{'xs': [[2.7213381901840523, 139.58023389570553, 139.58023389570553, 4.475939417177917], [4.475939417177917, 139.58023389570553, 138.7029332822086, 4.475939417177917]], 'ys': [[2.4639705882352794, 2.4639705882352794, 138.19338235294117, 134.92279411764704], [134.92279411764704, 138.19338235294117, 273.9227941176471, 275.5580882352941]]}",1,"(1800, 3600)",0.12715158,0.87506941,1411.26188,89.608196
21,ms21-24_2021-04-14 16-13-13.mkv,1,99,TRUE,0.9,50,1950,"{'xs': [[2.7385481366459627, 136.8006599378882, 138.5646350931677, 1.8565605590062113], [1.8565605590062113, 138.5646350931677, 138.5646350931677, 3.6205357142857144, 3.6205357142857144]], 'ys': [[2.457236842105254, 5.720394736842096, 137.8782894736842, 142.77302631578945], [142.77302631578945, 137.8782894736842, 278.1940789473684, 276.5625, 276.5625]]}",1,"(1800, 3600)",0.15657968,0.84453082,1267.46095,88.7569926
22,ms21-24_2021-04-14 16-13-13.mkv,2,99,TRUE,0.9,50,1950,"{'xs': [[0.9826061320754725, 134.88826650943395, 135.77505896226415, 0.9826061320754725], [0.9826061320754725, 135.77505896226415, 137.5486438679245, 2.75619103773585]], 'ys': [[2.431071428571408, 2.431071428571408, 138.27107142857142, 138.27107142857142], [138.27107142857142, 138.27107142857142, 280.57964285714286, 280.57964285714286]]}",1,"(1800, 3600)",0.25763465,0.74625208,1734.86796,119.130007
23,ms21-24_2021-04-14 16-13-13.mkv,3,99,TRUE,0.9,50,1950,"{'xs': [[0.9826061320754725, 137.5486438679245, 135.77505896226415, 0.9826061320754725], [0.9826061320754725, 135.77505896226415, 138.43543632075472, 2.75619103773585]], 'ys': [[2.457236842105254, 2.457236842105254, 139.50986842105263, 139.50986842105263], [139.50986842105263, 139.50986842105263, 276.5625, 274.93092105263156]]}",1,"(1800, 3600)",0.19211549,0.80955025,1276.53028,84.0098903
24,ms21-24_2021-04-14 16-13-13.mkv,4,99,TRUE,0.9,50,1950,"{'xs': [[2.7213381901840523, 139.58023389570553, 139.58023389570553, 4.475939417177917], [4.475939417177917, 139.58023389570553, 138.7029332822086, 4.475939417177917]], 'ys': [[2.4639705882352794, 2.4639705882352794, 138.19338235294117, 134.92279411764704], [134.92279411764704, 138.19338235294117, 273.9227941176471, 275.5580882352941]]}",1,"(1800, 3600)",0.40810661,0.59355913,1754.2174,111.384187
25,ms25-28_2021-04-14 16-27-47.mkv,1,99,TRUE,0.9,50,1950,"{'xs': [[2.7385481366459627, 136.8006599378882, 138.5646350931677, 1.8565605590062113], [1.8565605590062113, 138.5646350931677, 138.5646350931677, 3.6205357142857144, 3.6205357142857144]], 'ys': [[2.457236842105254, 5.720394736842096, 137.8782894736842, 142.77302631578945], [142.77302631578945, 137.8782894736842, 278.1940789473684, 276.5625, 276.5625]]}",1,"(1800, 3600)",0.41754581,0.58411993,1866.20612,130.685559
26,ms25-28_2021-04-14 16-27-47.mkv,2,99,TRUE,0.9,50,1950,"{'xs': [[0.9826061320754725, 134.88826650943395, 135.77505896226415, 0.9826061320754725], [0.9826061320754725, 135.77505896226415, 137.5486438679245, 2.75619103773585]], 'ys': [[2.431071428571408, 2.431071428571408, 138.27107142857142, 138.27107142857142], [138.27107142857142, 138.27107142857142, 280.57964285714286, 280.57964285714286]]}",1,"(1800, 3600)",0,1,896.807246,61.5820087
27,ms25-28_2021-04-14 16-27-47.mkv,3,99,TRUE,0.9,50,1950,"{'xs': [[0.9826061320754725, 137.5486438679245, 135.77505896226415, 0.9826061320754725], [0.9826061320754725, 135.77505896226415, 138.43543632075472, 2.75619103773585]], 'ys': [[2.457236842105254, 2.457236842105254, 139.50986842105263, 139.50986842105263], [139.50986842105263, 139.50986842105263, 276.5625, 274.93092105263156]]}",1,"(1800, 3600)",0.14214325,0.85785675,1750.67575,115.213936
28,ms25-28_2021-04-14 16-27-47.mkv,4,99,TRUE,0.9,50,1950,"{'xs': [[2.7213381901840523, 139.58023389570553, 139.58023389570553, 4.475939417177917], [4.475939417177917, 139.58023389570553, 138.7029332822086, 4.475939417177917]], 'ys': [[2.4639705882352794, 2.4639705882352794, 138.19338235294117, 134.92279411764704], [134.92279411764704, 138.19338235294117, 273.9227941176471, 275.5580882352941]]}",1,"(1800, 3600)",0.18656302,0.81510272,1312.0915,83.3113641
