Animal,testnum,File,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,bin,range(f),DstFrmCnt_in,Distance_px,Distance_in
4,2,SEFL_10K6B_OF_04_2023-09-29 17-06-28.mkv,98,TRUE,0.2,25,900,3,"(5400, 7200)",8.406833641,1011.363972,118.964108
4,2,SEFL_10K6B_OF_04_2023-09-29 17-06-28.mkv,98,TRUE,0.2,25,900,4,"(7200, 9000)",7.9067643,756.5943042,88.99621599
4,5,SEFL_10K6b_OF5_04_2023-10-04 12-38-14.mkv,98,TRUE,0.2,25,900,0,"(0, 1800)",7.917711149,2364.900022,274.2917341
4,5,SEFL_10K6b_OF5_04_2023-10-04 12-38-14.mkv,98,TRUE,0.2,25,900,1,"(1800, 3600)",7.713923109,1714.821828,198.8927432
4,5,SEFL_10K6b_OF5_04_2023-10-04 12-38-14.mkv,98,TRUE,0.2,25,900,2,"(3600, 5400)",7.264832189,1493.855757,173.2641051
4,5,SEFL_10K6b_OF5_04_2023-10-04 12-38-14.mkv,98,TRUE,0.2,25,900,3,"(5400, 7200)",7.381641531,1421.597421,164.8832585
4,5,SEFL_10K6b_OF5_04_2023-10-04 12-38-14.mkv,98,TRUE,0.2,25,900,4,"(7200, 9000)",7.213624356,1190.412862,138.0694342
5,3,SEFL_10K6B_OF_05_2023-10-01 14-08-25.mkv,98,TRUE,0.2,25,900,0,"(0, 1800)",8.178980303,2124.386648,252.5866478
5,3,SEFL_10K6B_OF_05_2023-10-01 14-08-25.mkv,98,TRUE,0.2,25,900,1,"(1800, 3600)",8.079060373,1198.833748,142.5396821
5,3,SEFL_10K6B_OF_05_2023-10-01 14-08-25.mkv,98,TRUE,0.2,25,900,2,"(3600, 5400)",8.127119916,936.7840012,111.3823281
5,3,SEFL_10K6B_OF_05_2023-10-01 14-08-25.mkv,98,TRUE,0.2,25,900,3,"(5400, 7200)",8.00530365,1340.224946,159.3509009
5,3,SEFL_10K6B_OF_05_2023-10-01 14-08-25.mkv,98,TRUE,0.2,25,900,4,"(7200, 9000)",8.20542638,839.6821499,99.83705161
5,6,SEFL_10K6b_OF6_05_2023-10-06 11-35-19.mkv,98,TRUE,0.2,25,900,0,"(0, 1800)",8.460355019,1446.876212,171.4928574
5,6,SEFL_10K6b_OF6_05_2023-10-06 11-35-19.mkv,98,TRUE,0.2,25,900,1,"(1800, 3600)",8.480795836,1156.513072,137.0771941
5,6,SEFL_10K6b_OF6_05_2023-10-06 11-35-19.mkv,98,TRUE,0.2,25,900,2,"(3600, 5400)",8.090316694,1258.352902,149.1478904
5,6,SEFL_10K6b_OF6_05_2023-10-06 11-35-19.mkv,98,TRUE,0.2,25,900,3,"(5400, 7200)",8.092994601,890.2821834,105.5218368
5,6,SEFL_10K6b_OF6_05_2023-10-06 11-35-19.mkv,98,TRUE,0.2,25,900,4,"(7200, 9000)",8.162732591,903.1214207,107.0436239
6,3,SEFL_10K6B_OF_06_2023-10-01 14-16-37.mkv,98,TRUE,0.2,25,900,0,"(0, 1800)",8.716426277,2331.866844,277.2557574
6,3,SEFL_10K6B_OF_06_2023-10-01 14-16-37.mkv,98,TRUE,0.2,25,900,1,"(1800, 3600)",7.467306911,1944.289384,231.173331
6,3,SEFL_10K6B_OF_06_2023-10-01 14-16-37.mkv,98,TRUE,0.2,25,900,2,"(3600, 5400)",8.117406949,997.8712917,118.6455228
6,3,SEFL_10K6B_OF_06_2023-10-01 14-16-37.mkv,98,TRUE,0.2,25,900,3,"(5400, 7200)",8.455762383,1134.05858,134.8380038
6,3,SEFL_10K6B_OF_06_2023-10-01 14-16-37.mkv,98,TRUE,0.2,25,900,4,"(7200, 9000)",7.281196024,1232.805622,146.5788912
6,6,SEFL_10K6b_OF6_06_2023-10-06 11-44-45.mkv,98,TRUE,0.2,25,900,0,"(0, 1800)",8.202603536,2494.356193,295.6467647
6,6,SEFL_10K6b_OF6_06_2023-10-06 11-44-45.mkv,98,TRUE,0.2,25,900,1,"(1800, 3600)",8.014646807,1368.221846,162.1702478
6,6,SEFL_10K6b_OF6_06_2023-10-06 11-44-45.mkv,98,TRUE,0.2,25,900,2,"(3600, 5400)",7.324263857,1192.754611,141.372769
6,6,SEFL_10K6b_OF6_06_2023-10-06 11-44-45.mkv,98,TRUE,0.2,25,900,3,"(5400, 7200)",7.785353149,1089.668536,129.1543598
6,6,SEFL_10K6b_OF6_06_2023-10-06 11-44-45.mkv,98,TRUE,0.2,25,900,4,"(7200, 9000)",7.318289509,1588.535444,188.2831994
7,3,SEFL_10K6B_OF_07_2023-10-01 14-25-14.mkv,98,TRUE,0.2,25,900,0,"(0, 1800)",7.295629195,2417.828307,287.4764571
7,3,SEFL_10K6B_OF_07_2023-10-01 14-25-14.mkv,98,TRUE,0.2,25,900,1,"(1800, 3600)",8.247465444,1200.096233,142.6897899
7,3,SEFL_10K6B_OF_07_2023-10-01 14-25-14.mkv,98,TRUE,0.2,25,900,2,"(3600, 5400)",8.239987697,1217.058453,144.7065745
7,3,SEFL_10K6B_OF_07_2023-10-01 14-25-14.mkv,98,TRUE,0.2,25,900,3,"(5400, 7200)",7.425469258,942.4474399,112.0557031
7,3,SEFL_10K6B_OF_07_2023-10-01 14-25-14.mkv,98,TRUE,0.2,25,900,4,"(7200, 9000)",8.152731803,1280.8586,152.2923242
7,6,SEFL_10K6b_OF6_07_2023-10-06 11-54-29.mkv,98,TRUE,0.2,25,900,0,"(0, 1800)",8.432683555,1668.920312,197.8109189
7,6,SEFL_10K6b_OF6_07_2023-10-06 11-54-29.mkv,98,TRUE,0.2,25,900,1,"(1800, 3600)",8.704052806,762.4488304,90.37022481
7,6,SEFL_10K6b_OF6_07_2023-10-06 11-54-29.mkv,98,TRUE,0.2,25,900,2,"(3600, 5400)",8.252897178,1477.965809,175.1777917
7,6,SEFL_10K6b_OF6_07_2023-10-06 11-54-29.mkv,98,TRUE,0.2,25,900,3,"(5400, 7200)",8.299955541,554.0704417,65.67190923
7,6,SEFL_10K6b_OF6_07_2023-10-06 11-54-29.mkv,98,TRUE,0.2,25,900,4,"(7200, 9000)",7.979650712,948.3167178,112.4004544
8,3,SEFL_10K6B_OF_08_2023-10-01 14-33-02.mkv,98,TRUE,0.2,25,900,0,"(0, 1800)",8.040696769,3090.186441,367.4189135
8,3,SEFL_10K6B_OF_08_2023-10-01 14-33-02.mkv,98,TRUE,0.2,25,900,1,"(1800, 3600)",8.134467874,1940.43894,230.7155185
8,3,SEFL_10K6B_OF_08_2023-10-01 14-33-02.mkv,98,TRUE,0.2,25,900,2,"(3600, 5400)",7.898739129,1622.090741,192.8643559
8,3,SEFL_10K6B_OF_08_2023-10-01 14-33-02.mkv,98,TRUE,0.2,25,900,3,"(5400, 7200)",8.590704707,604.9404705,71.92658911
8,3,SEFL_10K6B_OF_08_2023-10-01 14-33-02.mkv,98,TRUE,0.2,25,900,4,"(7200, 9000)",7.974145521,1368.899305,162.7602428
8,6,SEFL_10K6b_OF6_08_2023-10-06 12-04-41.mkv,98,TRUE,0.2,25,900,0,"(0, 1800)",7.943614134,2777.199665,329.1711497
8,6,SEFL_10K6b_OF6_08_2023-10-06 12-04-41.mkv,98,TRUE,0.2,25,900,1,"(1800, 3600)",8.111086662,2008.408935,238.049243
8,6,SEFL_10K6b_OF6_08_2023-10-06 12-04-41.mkv,98,TRUE,0.2,25,900,2,"(3600, 5400)",7.447024363,1505.331076,178.4212951
8,6,SEFL_10K6b_OF6_08_2023-10-06 12-04-41.mkv,98,TRUE,0.2,25,900,3,"(5400, 7200)",7.829026492,1475.998238,174.9445829
8,6,SEFL_10K6b_OF6_08_2023-10-06 12-04-41.mkv,98,TRUE,0.2,25,900,4,"(7200, 9000)",7.797387819,1155.758841,136.9877979
9,2,SEFL_10K6B_OF_09_2023-09-29 17-15-04.mkv,98,TRUE,0.2,25,900,0,"(0, 1800)",7.870522011,1950.982148,229.4889449
9,2,SEFL_10K6B_OF_09_2023-09-29 17-15-04.mkv,98,TRUE,0.2,25,900,1,"(1800, 3600)",7.542049258,986.4307586,116.0312791
9,2,SEFL_10K6B_OF_09_2023-09-29 17-15-04.mkv,98,TRUE,0.2,25,900,2,"(3600, 5400)",8.830400639,748.12136,87.99956565
9,2,SEFL_10K6B_OF_09_2023-09-29 17-15-04.mkv,98,TRUE,0.2,25,900,3,"(5400, 7200)",7.310980888,1489.516411,175.2079331
9,2,SEFL_10K6B_OF_09_2023-09-29 17-15-04.mkv,98,TRUE,0.2,25,900,4,"(7200, 9000)",7.903498736,554.747021,65.25344617
9,5,SEFL_10K6b_OF5_09_2023-10-04 12-45-31.mkv,98,TRUE,0.2,25,900,0,"(0, 1800)",8.187352876,1575.145195,182.6924196
9,5,SEFL_10K6b_OF5_09_2023-10-04 12-45-31.mkv,98,TRUE,0.2,25,900,1,"(1800, 3600)",8.257303208,798.4639661,92.60943965
9,5,SEFL_10K6b_OF5_09_2023-10-04 12-45-31.mkv,98,TRUE,0.2,25,900,2,"(3600, 5400)",7.547861784,1044.594171,121.1567271
