Animal,testnum,File,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,ROI_coordinates,ROI_location,ROI_transition,bin,range(f),c1,c2,o1,2,ctr,Distance_px,Distance_in
1,3,SEFL_10K6B_EPM_01_2023-10-01 12-52-12.mkv,98,TRUE,0.1,50,1050,"{'xs': [[139.2518573551263, 175.97845468053492, 178.84026745913818, 137.34398216939078], [136.8670133729569, 175.97845468053492, 172.63967310549776, 140.20579494799406], [1.8848439821693899, 137.34398216939078, 136.8670133729569, 1.4078751857355116], [178.84026745913818, 319.06909361069836, 319.06909361069836, 175.97845468053492], [175.97845468053492, 178.84026745913818, 137.34398216939078, 136.8670133729569]], 'ys': [[1.6711627492877115, 1.6711627492877115, 148.447516025641, 147.52728810541308], [177.89480947293444, 177.89480947293444, 322.37059294871796, 321.910478988604], [148.447516025641, 147.52728810541308, 177.89480947293444, 177.89480947293444], [148.447516025641, 148.90762998575497, 177.89480947293444, 177.89480947293444], [177.89480947293444, 148.447516025641, 147.52728810541308, 177.89480947293444]]}",ctr,FALSE,0,"(0, 1800)",0.613548029,0.066074403,0.063853415,0,0.259855636,2240.599139,215.8044141
1,3,SEFL_10K6B_EPM_01_2023-10-01 12-52-12.mkv,98,TRUE,0.1,50,1050,"{'xs': [[139.2518573551263, 175.97845468053492, 178.84026745913818, 137.34398216939078], [136.8670133729569, 175.97845468053492, 172.63967310549776, 140.20579494799406], [1.8848439821693899, 137.34398216939078, 136.8670133729569, 1.4078751857355116], [178.84026745913818, 319.06909361069836, 319.06909361069836, 175.97845468053492], [175.97845468053492, 178.84026745913818, 137.34398216939078, 136.8670133729569]], 'ys': [[1.6711627492877115, 1.6711627492877115, 148.447516025641, 147.52728810541308], [177.89480947293444, 177.89480947293444, 322.37059294871796, 321.910478988604], [148.447516025641, 147.52728810541308, 177.89480947293444, 177.89480947293444], [148.447516025641, 148.90762998575497, 177.89480947293444, 177.89480947293444], [177.89480947293444, 148.447516025641, 147.52728810541308, 177.89480947293444]]}",ctr,FALSE,1,"(1800, 3600)",0.886174348,0,0,0.004441977,0.103831205,1968.639531,189.61049
1,3,SEFL_10K6B_EPM_01_2023-10-01 12-52-12.mkv,98,TRUE,0.1,50,1050,"{'xs': [[139.2518573551263, 175.97845468053492, 178.84026745913818, 137.34398216939078], [136.8670133729569, 175.97845468053492, 172.63967310549776, 140.20579494799406], [1.8848439821693899, 137.34398216939078, 136.8670133729569, 1.4078751857355116], [178.84026745913818, 319.06909361069836, 319.06909361069836, 175.97845468053492], [175.97845468053492, 178.84026745913818, 137.34398216939078, 136.8670133729569]], 'ys': [[1.6711627492877115, 1.6711627492877115, 148.447516025641, 147.52728810541308], [177.89480947293444, 177.89480947293444, 322.37059294871796, 321.910478988604], [148.447516025641, 147.52728810541308, 177.89480947293444, 177.89480947293444], [148.447516025641, 148.90762998575497, 177.89480947293444, 177.89480947293444], [177.89480947293444, 148.447516025641, 147.52728810541308, 177.89480947293444]]}",ctr,FALSE,2,"(3600, 5400)",0.369239311,0.293725708,0.01332593,0.084952804,0.237090505,1866.114966,179.7357858
1,3,SEFL_10K6B_EPM_01_2023-10-01 12-52-12.mkv,98,TRUE,0.1,50,1050,"{'xs': [[139.2518573551263, 175.97845468053492, 178.84026745913818, 137.34398216939078], [136.8670133729569, 175.97845468053492, 172.63967310549776, 140.20579494799406], [1.8848439821693899, 137.34398216939078, 136.8670133729569, 1.4078751857355116], [178.84026745913818, 319.06909361069836, 319.06909361069836, 175.97845468053492], [175.97845468053492, 178.84026745913818, 137.34398216939078, 136.8670133729569]], 'ys': [[1.6711627492877115, 1.6711627492877115, 148.447516025641, 147.52728810541308], [177.89480947293444, 177.89480947293444, 322.37059294871796, 321.910478988604], [148.447516025641, 147.52728810541308, 177.89480947293444, 177.89480947293444], [148.447516025641, 148.90762998575497, 177.89480947293444, 177.89480947293444], [177.89480947293444, 148.447516025641, 147.52728810541308, 177.89480947293444]]}",ctr,FALSE,3,"(5400, 7200)",0.725152693,0.21710161,0,0,0.058856191,2841.837668,273.7130003
1,3,SEFL_10K6B_EPM_01_2023-10-01 12-52-12.mkv,98,TRUE,0.1,50,1050,"{'xs': [[139.2518573551263, 175.97845468053492, 178.84026745913818, 137.34398216939078], [136.8670133729569, 175.97845468053492, 172.63967310549776, 140.20579494799406], [1.8848439821693899, 137.34398216939078, 136.8670133729569, 1.4078751857355116], [178.84026745913818, 319.06909361069836, 319.06909361069836, 175.97845468053492], [175.97845468053492, 178.84026745913818, 137.34398216939078, 136.8670133729569]], 'ys': [[1.6711627492877115, 1.6711627492877115, 148.447516025641, 147.52728810541308], [177.89480947293444, 177.89480947293444, 322.37059294871796, 321.910478988604], [148.447516025641, 147.52728810541308, 177.89480947293444, 177.89480947293444], [148.447516025641, 148.90762998575497, 177.89480947293444, 177.89480947293444], [177.89480947293444, 148.447516025641, 147.52728810541308, 177.89480947293444]]}",ctr,FALSE,4,"(7200, 9000)",0.737222222,0.080555556,0,0.025,0.166111111,2635.827948,253.8710723
1,6,SEFL_10K6b_EPM6_01_2023-10-06 10-13-57.mkv,98,TRUE,0.1,50,1050,"{'xs': [[103.34023668639051, 205.75147928994082, 178.60059171597632, 138.5887573964497], [109.05621301775146, 139.54142011834318, 175.74260355029583, 209.08579881656803], [3.3106508875739644, 138.5887573964497, 139.54142011834318, 3.3106508875739644], [178.60059171597632, 318.6420118343195, 320.0710059171597, 175.74260355029583], [175.74260355029583, 139.54142011834318, 138.5887573964497, 178.60059171597632]], 'ys': [[0.7497789957567511, 2.5885342998585896, 145.0920703677511, 146.011448019802], [323.45133486562946, 175.8912217114569, 175.43153288543144, 323.45133486562946], [150.6083362800566, 146.011448019802, 175.8912217114569, 177.27028818953326], [145.0920703677511, 141.41455975954742, 172.67339992927867, 175.43153288543144], [175.43153288543144, 175.8912217114569, 146.011448019802, 145.0920703677511]]}",ctr,FALSE,0,"(0, 1800)",0,0.96946141,0,0,0.036646308,2575.694032,247.8032518
1,6,SEFL_10K6b_EPM6_01_2023-10-06 10-13-57.mkv,98,TRUE,0.1,50,1050,"{'xs': [[103.34023668639051, 205.75147928994082, 178.60059171597632, 138.5887573964497], [109.05621301775146, 139.54142011834318, 175.74260355029583, 209.08579881656803], [3.3106508875739644, 138.5887573964497, 139.54142011834318, 3.3106508875739644], [178.60059171597632, 318.6420118343195, 320.0710059171597, 175.74260355029583], [175.74260355029583, 139.54142011834318, 138.5887573964497, 178.60059171597632]], 'ys': [[0.7497789957567511, 2.5885342998585896, 145.0920703677511, 146.011448019802], [323.45133486562946, 175.8912217114569, 175.43153288543144, 323.45133486562946], [150.6083362800566, 146.011448019802, 175.8912217114569, 177.27028818953326], [145.0920703677511, 141.41455975954742, 172.67339992927867, 175.43153288543144], [175.43153288543144, 175.8912217114569, 146.011448019802, 145.0920703677511]]}",ctr,FALSE,1,"(1800, 3600)",0,0.887284842,0,0,0.121043865,2154.553194,207.2859901
1,6,SEFL_10K6b_EPM6_01_2023-10-06 10-13-57.mkv,98,TRUE,0.1,50,1050,"{'xs': [[103.34023668639051, 205.75147928994082, 178.60059171597632, 138.5887573964497], [109.05621301775146, 139.54142011834318, 175.74260355029583, 209.08579881656803], [3.3106508875739644, 138.5887573964497, 139.54142011834318, 3.3106508875739644], [178.60059171597632, 318.6420118343195, 320.0710059171597, 175.74260355029583], [175.74260355029583, 139.54142011834318, 138.5887573964497, 178.60059171597632]], 'ys': [[0.7497789957567511, 2.5885342998585896, 145.0920703677511, 146.011448019802], [323.45133486562946, 175.8912217114569, 175.43153288543144, 323.45133486562946], [150.6083362800566, 146.011448019802, 175.8912217114569, 177.27028818953326], [145.0920703677511, 141.41455975954742, 172.67339992927867, 175.43153288543144], [175.43153288543144, 175.8912217114569, 146.011448019802, 145.0920703677511]]}",ctr,FALSE,2,"(3600, 5400)",0,0.786229872,0,0.059411438,0.162687396,2700.297903,259.7911836
1,6,SEFL_10K6b_EPM6_01_2023-10-06 10-13-57.mkv,98,TRUE,0.1,50,1050,"{'xs': [[103.34023668639051, 205.75147928994082, 178.60059171597632, 138.5887573964497], [109.05621301775146, 139.54142011834318, 175.74260355029583, 209.08579881656803], [3.3106508875739644, 138.5887573964497, 139.54142011834318, 3.3106508875739644], [178.60059171597632, 318.6420118343195, 320.0710059171597, 175.74260355029583], [175.74260355029583, 139.54142011834318, 138.5887573964497, 178.60059171597632]], 'ys': [[0.7497789957567511, 2.5885342998585896, 145.0920703677511, 146.011448019802], [323.45133486562946, 175.8912217114569, 175.43153288543144, 323.45133486562946], [150.6083362800566, 146.011448019802, 175.8912217114569, 177.27028818953326], [145.0920703677511, 141.41455975954742, 172.67339992927867, 175.43153288543144], [175.43153288543144, 175.8912217114569, 146.011448019802, 145.0920703677511]]}",ctr,FALSE,3,"(5400, 7200)",0,0.786229872,0.111049417,0,0.112159911,1967.971703,189.3352943
1,6,SEFL_10K6b_EPM6_01_2023-10-06 10-13-57.mkv,98,TRUE,0.1,50,1050,"{'xs': [[103.34023668639051, 205.75147928994082, 178.60059171597632, 138.5887573964497], [109.05621301775146, 139.54142011834318, 175.74260355029583, 209.08579881656803], [3.3106508875739644, 138.5887573964497, 139.54142011834318, 3.3106508875739644], [178.60059171597632, 318.6420118343195, 320.0710059171597, 175.74260355029583], [175.74260355029583, 139.54142011834318, 138.5887573964497, 178.60059171597632]], 'ys': [[0.7497789957567511, 2.5885342998585896, 145.0920703677511, 146.011448019802], [323.45133486562946, 175.8912217114569, 175.43153288543144, 323.45133486562946], [150.6083362800566, 146.011448019802, 175.8912217114569, 177.27028818953326], [145.0920703677511, 141.41455975954742, 172.67339992927867, 175.43153288543144], [175.43153288543144, 175.8912217114569, 146.011448019802, 145.0920703677511]]}",ctr,FALSE,4,"(7200, 9000)",0.614444444,0.275555556,0,0,0.125,1602.555352,154.1791931
2,3,SEFL_10K6B_EPM_02_2023-10-01 12-59-46.mkv,98,TRUE,0.1,50,1050,"{'xs': [[139.2518573551263, 175.97845468053492, 178.84026745913818, 137.34398216939078], [136.8670133729569, 175.97845468053492, 172.63967310549776, 140.20579494799406], [1.8848439821693899, 137.34398216939078, 136.8670133729569, 1.4078751857355116], [178.84026745913818, 319.06909361069836, 319.06909361069836, 175.97845468053492], [175.97845468053492, 178.84026745913818, 137.34398216939078, 136.8670133729569]], 'ys': [[1.6711627492877115, 1.6711627492877115, 148.447516025641, 147.52728810541308], [177.89480947293444, 177.89480947293444, 322.37059294871796, 321.910478988604], [148.447516025641, 147.52728810541308, 177.89480947293444, 177.89480947293444], [148.447516025641, 148.90762998575497, 177.89480947293444, 177.89480947293444], [177.89480947293444, 148.447516025641, 147.52728810541308, 177.89480947293444]]}",c2,FALSE,0,"(0, 1800)",0.444752915,0.154913937,0,0.00388673,0.405885619,2151.019612,207.1765177
2,3,SEFL_10K6B_EPM_02_2023-10-01 12-59-46.mkv,98,TRUE,0.1,50,1050,"{'xs': [[139.2518573551263, 175.97845468053492, 178.84026745913818, 137.34398216939078], [136.8670133729569, 175.97845468053492, 172.63967310549776, 140.20579494799406], [1.8848439821693899, 137.34398216939078, 136.8670133729569, 1.4078751857355116], [178.84026745913818, 319.06909361069836, 319.06909361069836, 175.97845468053492], [175.97845468053492, 178.84026745913818, 137.34398216939078, 136.8670133729569]], 'ys': [[1.6711627492877115, 1.6711627492877115, 148.447516025641, 147.52728810541308], [177.89480947293444, 177.89480947293444, 322.37059294871796, 321.910478988604], [148.447516025641, 147.52728810541308, 177.89480947293444, 177.89480947293444], [148.447516025641, 148.90762998575497, 177.89480947293444, 177.89480947293444], [177.89480947293444, 148.447516025641, 147.52728810541308, 177.89480947293444]]}",c2,FALSE,1,"(1800, 3600)",0.1332593,0.53525819,0,0.039422543,0.275402554,2284.885179,220.0698459
2,3,SEFL_10K6B_EPM_02_2023-10-01 12-59-46.mkv,98,TRUE,0.1,50,1050,"{'xs': [[139.2518573551263, 175.97845468053492, 178.84026745913818, 137.34398216939078], [136.8670133729569, 175.97845468053492, 172.63967310549776, 140.20579494799406], [1.8848439821693899, 137.34398216939078, 136.8670133729569, 1.4078751857355116], [178.84026745913818, 319.06909361069836, 319.06909361069836, 175.97845468053492], [175.97845468053492, 178.84026745913818, 137.34398216939078, 136.8670133729569]], 'ys': [[1.6711627492877115, 1.6711627492877115, 148.447516025641, 147.52728810541308], [177.89480947293444, 177.89480947293444, 322.37059294871796, 321.910478988604], [148.447516025641, 147.52728810541308, 177.89480947293444, 177.89480947293444], [148.447516025641, 148.90762998575497, 177.89480947293444, 177.89480947293444], [177.89480947293444, 148.447516025641, 147.52728810541308, 177.89480947293444]]}",c2,FALSE,2,"(3600, 5400)",0.339255969,0.495835647,0,0.036646308,0.134925042,2732.782894,263.2093359
2,3,SEFL_10K6B_EPM_02_2023-10-01 12-59-46.mkv,98,TRUE,0.1,50,1050,"{'xs': [[139.2518573551263, 175.97845468053492, 178.84026745913818, 137.34398216939078], [136.8670133729569, 175.97845468053492, 172.63967310549776, 140.20579494799406], [1.8848439821693899, 137.34398216939078, 136.8670133729569, 1.4078751857355116], [178.84026745913818, 319.06909361069836, 319.06909361069836, 175.97845468053492], [175.97845468053492, 178.84026745913818, 137.34398216939078, 136.8670133729569]], 'ys': [[1.6711627492877115, 1.6711627492877115, 148.447516025641, 147.52728810541308], [177.89480947293444, 177.89480947293444, 322.37059294871796, 321.910478988604], [148.447516025641, 147.52728810541308, 177.89480947293444, 177.89480947293444], [148.447516025641, 148.90762998575497, 177.89480947293444, 177.89480947293444], [177.89480947293444, 148.447516025641, 147.52728810541308, 177.89480947293444]]}",c2,FALSE,3,"(5400, 7200)",0.238756247,0.36757357,0.102720711,0.058300944,0.256524153,2578.331132,248.3332381
2,3,SEFL_10K6B_EPM_02_2023-10-01 12-59-46.mkv,98,TRUE,0.1,50,1050,"{'xs': [[139.2518573551263, 175.97845468053492, 178.84026745913818, 137.34398216939078], [136.8670133729569, 175.97845468053492, 172.63967310549776, 140.20579494799406], [1.8848439821693899, 137.34398216939078, 136.8670133729569, 1.4078751857355116], [178.84026745913818, 319.06909361069836, 319.06909361069836, 175.97845468053492], [175.97845468053492, 178.84026745913818, 137.34398216939078, 136.8670133729569]], 'ys': [[1.6711627492877115, 1.6711627492877115, 148.447516025641, 147.52728810541308], [177.89480947293444, 177.89480947293444, 322.37059294871796, 321.910478988604], [148.447516025641, 147.52728810541308, 177.89480947293444, 177.89480947293444], [148.447516025641, 148.90762998575497, 177.89480947293444, 177.89480947293444], [177.89480947293444, 148.447516025641, 147.52728810541308, 177.89480947293444]]}",c2,FALSE,4,"(7200, 9000)",0.546666667,0.300555556,0,0,0.154444444,2522.989703,243.003001
2,6,SEFL_10K6b_EPM6_02_2023-10-06 10-25-06.mkv,98,TRUE,0.1,50,1050,"{'xs': [[103.34023668639051, 205.75147928994082, 178.60059171597632, 138.5887573964497], [109.05621301775146, 139.54142011834318, 175.74260355029583, 209.08579881656803], [3.3106508875739644, 138.5887573964497, 139.54142011834318, 3.3106508875739644], [178.60059171597632, 318.6420118343195, 320.0710059171597, 175.74260355029583], [175.74260355029583, 139.54142011834318, 138.5887573964497, 178.60059171597632]], 'ys': [[0.7497789957567511, 2.5885342998585896, 145.0920703677511, 146.011448019802], [323.45133486562946, 175.8912217114569, 175.43153288543144, 323.45133486562946], [150.6083362800566, 146.011448019802, 175.8912217114569, 177.27028818953326], [145.0920703677511, 141.41455975954742, 172.67339992927867, 175.43153288543144], [175.43153288543144, 175.8912217114569, 146.011448019802, 145.0920703677511]]}",c2,FALSE,0,"(0, 1800)",0.364797335,0.541365908,0,0,0.105496946,1878.774874,180.7538152
