Animal,testnum,File,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,ROI_coordinates,ROI_location,ROI_transition,bin,range(f),light,dark,Distance_px,Distance_in
1,1,SEFL_10K6b_LD1_01_02_03_04_2023-09-27 13-10-25.mkv,98,TRUE,0.5,50,1800,"{'xs': [[1.0507246376811608, 101.84782608695653, 101.84782608695653, 0.275362318840581], [0.275362318840581, 101.84782608695653, 103.39855072463769, 1.8260869565217406]], 'ys': [[1.666788641686179, 1.1679596018735328, 109.91269028103045, 107.91737412177986], [107.91737412177986, 109.91269028103045, 211.6738144028103, 212.17264344262296]]}",dark,FALSE,0,"(0, 1800)",0.215435869,0.789006108,1311.583739,130.6813868
1,1,SEFL_10K6b_LD1_01_02_03_04_2023-09-27 13-10-25.mkv,98,TRUE,0.5,50,1800,"{'xs': [[1.0507246376811608, 101.84782608695653, 101.84782608695653, 0.275362318840581], [0.275362318840581, 101.84782608695653, 103.39855072463769, 1.8260869565217406]], 'ys': [[1.666788641686179, 1.1679596018735328, 109.91269028103045, 107.91737412177986], [107.91737412177986, 109.91269028103045, 211.6738144028103, 212.17264344262296]]}",dark,FALSE,1,"(1800, 3600)",0.21710161,0.784564131,1208.23168,120.3837672
1,1,SEFL_10K6b_LD1_01_02_03_04_2023-09-27 13-10-25.mkv,98,TRUE,0.5,50,1800,"{'xs': [[1.0507246376811608, 101.84782608695653, 101.84782608695653, 0.275362318840581], [0.275362318840581, 101.84782608695653, 103.39855072463769, 1.8260869565217406]], 'ys': [[1.666788641686179, 1.1679596018735328, 109.91269028103045, 107.91737412177986], [107.91737412177986, 109.91269028103045, 211.6738144028103, 212.17264344262296]]}",dark,FALSE,2,"(3600, 5400)",0.215435869,0.786229872,1140.624271,113.6476134
1,1,SEFL_10K6b_LD1_01_02_03_04_2023-09-27 13-10-25.mkv,98,TRUE,0.5,50,1800,"{'xs': [[1.0507246376811608, 101.84782608695653, 101.84782608695653, 0.275362318840581], [0.275362318840581, 101.84782608695653, 103.39855072463769, 1.8260869565217406]], 'ys': [[1.666788641686179, 1.1679596018735328, 109.91269028103045, 107.91737412177986], [107.91737412177986, 109.91269028103045, 211.6738144028103, 212.17264344262296]]}",dark,FALSE,3,"(5400, 7200)",0.267073848,0.732926152,983.6733933,98.00960428
1,1,SEFL_10K6b_LD1_01_02_03_04_2023-09-27 13-10-25.mkv,98,TRUE,0.5,50,1800,"{'xs': [[1.0507246376811608, 101.84782608695653, 101.84782608695653, 0.275362318840581], [0.275362318840581, 101.84782608695653, 103.39855072463769, 1.8260869565217406]], 'ys': [[1.666788641686179, 1.1679596018735328, 109.91269028103045, 107.91737412177986], [107.91737412177986, 109.91269028103045, 211.6738144028103, 212.17264344262296]]}",dark,FALSE,4,"(7200, 9000)",0.195446974,0.806218767,792.9862052,79.01023317
1,4,SEFL_10K6b_LD4_01_02_03_2023-10-02 12-29-16.mkv,98,TRUE,0.5,50,1800,"{'xs': [[2.915300546448088, 123.13387978142077, 118.35245901639344, 3.5983606557377055], [3.5983606557377055, 118.35245901639344, 118.35245901639344, 2.2322404371584703]], 'ys': [[4.105997415413553, 2.6680274906015224, 131.60599741541355, 129.20938087406017], [129.20938087406017, 131.60599741541355, 251.43682448308272, 250.47817786654136]]}",dark,FALSE,0,"(0, 1800)",0.089394781,0.911715713,1187.584881,102.6484547
1,4,SEFL_10K6b_LD4_01_02_03_2023-10-02 12-29-16.mkv,98,TRUE,0.5,50,1800,"{'xs': [[2.915300546448088, 123.13387978142077, 118.35245901639344, 3.5983606557377055], [3.5983606557377055, 118.35245901639344, 118.35245901639344, 2.2322404371584703]], 'ys': [[4.105997415413553, 2.6680274906015224, 131.60599741541355, 129.20938087406017], [129.20938087406017, 131.60599741541355, 251.43682448308272, 250.47817786654136]]}",dark,FALSE,1,"(1800, 3600)",0.128817324,0.87229317,1162.054362,100.4417338
1,4,SEFL_10K6b_LD4_01_02_03_2023-10-02 12-29-16.mkv,98,TRUE,0.5,50,1800,"{'xs': [[2.915300546448088, 123.13387978142077, 118.35245901639344, 3.5983606557377055], [3.5983606557377055, 118.35245901639344, 118.35245901639344, 2.2322404371584703]], 'ys': [[4.105997415413553, 2.6680274906015224, 131.60599741541355, 129.20938087406017], [129.20938087406017, 131.60599741541355, 251.43682448308272, 250.47817786654136]]}",dark,FALSE,2,"(3600, 5400)",0.158245419,0.842309828,1134.338837,98.04615283
1,4,SEFL_10K6b_LD4_01_02_03_2023-10-02 12-29-16.mkv,98,TRUE,0.5,50,1800,"{'xs': [[2.915300546448088, 123.13387978142077, 118.35245901639344, 3.5983606557377055], [3.5983606557377055, 118.35245901639344, 118.35245901639344, 2.2322404371584703]], 'ys': [[4.105997415413553, 2.6680274906015224, 131.60599741541355, 129.20938087406017], [129.20938087406017, 131.60599741541355, 251.43682448308272, 250.47817786654136]]}",dark,FALSE,3,"(5400, 7200)",0.146029983,0.853970017,868.2603625,75.04775945
1,4,SEFL_10K6b_LD4_01_02_03_2023-10-02 12-29-16.mkv,98,TRUE,0.5,50,1800,"{'xs': [[2.915300546448088, 123.13387978142077, 118.35245901639344, 3.5983606557377055], [3.5983606557377055, 118.35245901639344, 118.35245901639344, 2.2322404371584703]], 'ys': [[4.105997415413553, 2.6680274906015224, 131.60599741541355, 129.20938087406017], [129.20938087406017, 131.60599741541355, 251.43682448308272, 250.47817786654136]]}",dark,FALSE,4,"(7200, 9000)",0,1,1136.366395,98.22140404
