Region,Cell,HM4D,SpikeT_ms_chunked,SpikeT_sec_chunked,RecordChunk,SpikeT_sec
vCA1,231101_cell2,pos,244863.7031,244.8637031,0,244.8637031
vCA1,231101_cell2,pos,248787.2031,248.7872031,0,248.7872031
vCA1,231101_cell2,pos,251345.2031,251.3452031,0,251.3452031
vCA1,231101_cell2,pos,253627.7969,253.6277969,0,253.6277969
vCA1,231101_cell2,pos,257597.4063,257.5974063,0,257.5974063
vCA1,231101_cell2,pos,259002.7969,259.0027969,0,259.0027969
vCA1,231101_cell2,pos,263975.3125,263.9753125,0,263.9753125
vCA1,231101_cell2,pos,265697.5938,265.6975938,0,265.6975938
vCA1,231101_cell2,pos,268330.5938,268.3305938,0,268.3305938
vCA1,231101_cell2,pos,268512.5938,268.5125938,0,268.5125938
vCA1,231101_cell2,pos,273078,273.078,0,273.078
vCA1,231101_cell2,pos,274628.6875,274.6286875,0,274.6286875
vCA1,231101_cell2,pos,276126,276.126,0,276.126
vCA1,231101_cell2,pos,279090.0938,279.0900938,0,279.0900938
vCA1,231101_cell2,pos,281122.0938,281.1220938,0,281.1220938
vCA1,231101_cell2,pos,283414.8125,283.4148125,0,283.4148125
vCA1,231101_cell2,pos,285076.4063,285.0764063,0,285.0764063
vCA1,231101_cell2,pos,285450.9063,285.4509063,0,285.4509063
vCA1,231101_cell2,pos,291148.5,291.1485,0,291.1485
vCA1,231101_cell2,pos,293336.3125,293.3363125,0,293.3363125
vCA1,231101_cell2,pos,293745.9063,293.7459063,0,293.7459063
vCA1,231101_cell2,pos,300345,300.345,0,300.345
vCA1,231101_cell2,pos,300743.8125,300.7438125,0,300.7438125
vCA1,231101_cell2,pos,304666.9063,304.6669063,0,304.6669063
vCA1,231101_cell2,pos,307559.4063,307.5594063,0,307.5594063
vCA1,231101_cell2,pos,309043.4063,309.0434063,0,309.0434063
vCA1,231101_cell2,pos,311088.9063,311.0889063,0,311.0889063
vCA1,231101_cell2,pos,313168,313.168,0,313.168
vCA1,231101_cell2,pos,317950.9063,317.9509063,0,317.9509063
vCA1,231101_cell2,pos,319415.6875,319.4156875,0,319.4156875
vCA1,231101_cell2,pos,324306.5,324.3065,0,324.3065
vCA1,231101_cell2,pos,328270.4063,328.2704063,0,328.2704063
vCA1,231101_cell2,pos,330520.1875,330.5201875,0,330.5201875
vCA1,231101_cell2,pos,332217.6875,332.2176875,0,332.2176875
vCA1,231101_cell2,pos,334662.1875,334.6621875,0,334.6621875
vCA1,231101_cell2,pos,335102.4063,335.1024063,0,335.1024063
vCA1,231101_cell2,pos,336743.6875,336.7436875,0,336.7436875
vCA1,231101_cell2,pos,338719.1875,338.7191875,0,338.7191875
vCA1,231101_cell2,pos,340232.5938,340.2325938,0,340.2325938
vCA1,231101_cell2,pos,345105.4063,345.1054063,0,345.1054063
vCA1,231101_cell2,pos,348088,348.088,0,348.088
vCA1,231101_cell2,pos,350089.4063,350.0894063,0,350.0894063
vCA1,231101_cell2,pos,353296.4063,353.2964063,0,353.2964063
vCA1,231101_cell2,pos,356028.4063,356.0284063,0,356.0284063
vCA1,231101_cell2,pos,357642.0938,357.6420938,0,357.6420938
vCA1,231101_cell2,pos,358188.5938,358.1885938,0,358.1885938
vCA1,231101_cell2,pos,362983.1875,362.9831875,0,362.9831875
vCA1,231101_cell2,pos,366777.5938,366.7775938,0,366.7775938
vCA1,231101_cell2,pos,367784.0938,367.7840938,0,367.7840938
vCA1,231101_cell2,pos,369156.1875,369.1561875,0,369.1561875
vCA1,231101_cell2,pos,370911.9063,370.9119063,0,370.9119063
vCA1,231101_cell2,pos,373145.9063,373.1459063,0,373.1459063
vCA1,231101_cell2,pos,377502.4063,377.5024063,0,377.5024063
vCA1,231101_cell2,pos,378196.1875,378.1961875,0,378.1961875
vCA1,231101_cell2,pos,379350.4063,379.3504063,0,379.3504063
vCA1,231101_cell2,pos,379532.9063,379.5329063,0,379.5329063
vCA1,231101_cell2,pos,382439.5,382.4395,0,382.4395
