Animal,File,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,ROI_coordinates,bin,range(f),light,dark,Distance_px,Distance_in
9,ms6-10_2021-06-14 12-03-51.mkv,99,TRUE,0.9,50,1950,"{'xs': [[1.831818181818184, 140.59545454545457, 136.2318181818182, 2.704545454545457], [2.704545454545457, 136.2318181818182, 138.85000000000002, 1.831818181818184]], 'ys': [[1.0086729074889655, 1.6276156387664986, 139.65184471365637, 139.03290198237883], [139.03290198237883, 139.65184471365637, 279.53290198237886, 279.53290198237886]]}",1,"(1800, 3600)",0.049972238,0.952248751,1041.966159,77.39048626
9,ms6-10_2021-06-14 12-03-51.mkv,99,TRUE,0.9,50,1950,"{'xs': [[1.831818181818184, 140.59545454545457, 136.2318181818182, 2.704545454545457], [2.704545454545457, 136.2318181818182, 138.85000000000002, 1.831818181818184]], 'ys': [[1.0086729074889655, 1.6276156387664986, 139.65184471365637, 139.03290198237883], [139.03290198237883, 139.65184471365637, 279.53290198237886, 279.53290198237886]]}",2,"(3600, 5400)",0,1,747.5915587,55.52625076
9,ms6-10_2021-06-14 12-03-51.mkv,99,TRUE,0.9,50,1950,"{'xs': [[1.831818181818184, 140.59545454545457, 136.2318181818182, 2.704545454545457], [2.704545454545457, 136.2318181818182, 138.85000000000002, 1.831818181818184]], 'ys': [[1.0086729074889655, 1.6276156387664986, 139.65184471365637, 139.03290198237883], [139.03290198237883, 139.65184471365637, 279.53290198237886, 279.53290198237886]]}",3,"(5400, 7200)",0,1,498.3711023,37.01577215
9,ms6-10_2021-06-14 12-03-51.mkv,99,TRUE,0.9,50,1950,"{'xs': [[1.831818181818184, 140.59545454545457, 136.2318181818182, 2.704545454545457], [2.704545454545457, 136.2318181818182, 138.85000000000002, 1.831818181818184]], 'ys': [[1.0086729074889655, 1.6276156387664986, 139.65184471365637, 139.03290198237883], [139.03290198237883, 139.65184471365637, 279.53290198237886, 279.53290198237886]]}",4,"(7200, 9000)",0.22098834,0.779566907,1152.368708,85.59047129
10,ms6-10_2021-06-14 12-03-51.mkv,99,TRUE,0.9,50,1950,"{'xs': [[2.704545454545457, 139.7227272727273, 139.7227272727273, 4.450000000000002], [3.5772727272727294, 140.59545454545457, 137.10454545454547, 1.831818181818184]], 'ys': [[1.6276156387664986, 1.0086729074889655, 137.79501651982378, 139.03290198237883], [143.36550110132157, 142.74655837004403, 277.0571310572687, 278.9139592511013]]}",0,"(0, 1800)",0.0766241,0.91282621,1431.06898,104.126021
10,ms6-10_2021-06-14 12-03-51.mkv,99,TRUE,0.9,50,1950,"{'xs': [[2.704545454545457, 139.7227272727273, 139.7227272727273, 4.450000000000002], [3.5772727272727294, 140.59545454545457, 137.10454545454547, 1.831818181818184]], 'ys': [[1.6276156387664986, 1.0086729074889655, 137.79501651982378, 139.03290198237883], [143.36550110132157, 142.74655837004403, 277.0571310572687, 278.9139592511013]]}",1,"(1800, 3600)",0.04775125,0.94558579,1043.06288,75.894306
10,ms6-10_2021-06-14 12-03-51.mkv,99,TRUE,0.9,50,1950,"{'xs': [[2.704545454545457, 139.7227272727273, 139.7227272727273, 4.450000000000002], [3.5772727272727294, 140.59545454545457, 137.10454545454547, 1.831818181818184]], 'ys': [[1.6276156387664986, 1.0086729074889655, 137.79501651982378, 139.03290198237883], [143.36550110132157, 142.74655837004403, 277.0571310572687, 278.9139592511013]]}",2,"(3600, 5400)",0,1,748.052579,54.4290592
10,ms6-10_2021-06-14 12-03-51.mkv,99,TRUE,0.9,50,1950,"{'xs': [[2.704545454545457, 139.7227272727273, 139.7227272727273, 4.450000000000002], [3.5772727272727294, 140.59545454545457, 137.10454545454547, 1.831818181818184]], 'ys': [[1.6276156387664986, 1.0086729074889655, 137.79501651982378, 139.03290198237883], [143.36550110132157, 142.74655837004403, 277.0571310572687, 278.9139592511013]]}",3,"(5400, 7200)",0,1,496.757023,36.1445414
10,ms6-10_2021-06-14 12-03-51.mkv,99,TRUE,0.9,50,1950,"{'xs': [[2.704545454545457, 139.7227272727273, 139.7227272727273, 4.450000000000002], [3.5772727272727294, 140.59545454545457, 137.10454545454547, 1.831818181818184]], 'ys': [[1.6276156387664986, 1.0086729074889655, 137.79501651982378, 139.03290198237883], [143.36550110132157, 142.74655837004403, 277.0571310572687, 278.9139592511013]]}",4,"(7200, 9000)",0.22043309,0.77790117,1149.28487,83.6231252
11,ms11-14_2021-06-14 12-13-52.mkv,99,TRUE,0.9,50,1950,"{'xs': [[3.666003184713378, 134.74880573248407, 132.0736464968153, 2.774283439490448], [2.774283439490448, 132.0736464968153, 133.85708598726114, 2.774283439490448]], 'ys': [[2.235183189655145, 5.317079741379283, 144.0024245689655, 143.38604525862067], [143.38604525862067, 144.0024245689655, 283.3041487068965, 283.3041487068965]]}",0,"(0, 1800)",0.280399778,0.721265963,1885.651121,132.5671084
11,ms11-14_2021-06-14 12-13-52.mkv,99,TRUE,0.9,50,1950,"{'xs': [[3.666003184713378, 134.74880573248407, 132.0736464968153, 2.774283439490448], [2.774283439490448, 132.0736464968153, 133.85708598726114, 2.774283439490448]], 'ys': [[2.235183189655145, 5.317079741379283, 144.0024245689655, 143.38604525862067], [143.38604525862067, 144.0024245689655, 283.3041487068965, 283.3041487068965]]}",1,"(1800, 3600)",0.106052193,0.893947807,1481.810973,104.1758964
11,ms11-14_2021-06-14 12-13-52.mkv,99,TRUE,0.9,50,1950,"{'xs': [[3.666003184713378, 134.74880573248407, 132.0736464968153, 2.774283439490448], [2.774283439490448, 132.0736464968153, 133.85708598726114, 2.774283439490448]], 'ys': [[2.235183189655145, 5.317079741379283, 144.0024245689655, 143.38604525862067], [143.38604525862067, 144.0024245689655, 283.3041487068965, 283.3041487068965]]}",2,"(3600, 5400)",0.338700722,0.662965019,1453.671397,102.1975972
11,ms11-14_2021-06-14 12-13-52.mkv,99,TRUE,0.9,50,1950,"{'xs': [[3.666003184713378, 134.74880573248407, 132.0736464968153, 2.774283439490448], [2.774283439490448, 132.0736464968153, 133.85708598726114, 2.774283439490448]], 'ys': [[2.235183189655145, 5.317079741379283, 144.0024245689655, 143.38604525862067], [143.38604525862067, 144.0024245689655, 283.3041487068965, 283.3041487068965]]}",3,"(5400, 7200)",0.38478623,0.61521377,1231.018987,86.54444379
11,ms11-14_2021-06-14 12-13-52.mkv,99,TRUE,0.9,50,1950,"{'xs': [[3.666003184713378, 134.74880573248407, 132.0736464968153, 2.774283439490448], [2.774283439490448, 132.0736464968153, 133.85708598726114, 2.774283439490448]], 'ys': [[2.235183189655145, 5.317079741379283, 144.0024245689655, 143.38604525862067], [143.38604525862067, 144.0024245689655, 283.3041487068965, 283.3041487068965]]}",4,"(7200, 9000)",0.364797335,0.635202665,1429.127051,100.4720537
12,ms11-14_2021-06-14 12-13-52.mkv,99,TRUE,0.9,50,1950,"{'xs': [[0.9516279940119733, 141.6103106287425, 139.8737836826347, 4.424681886227542], [4.424681886227542, 139.8737836826347, 140.7420471556886, 0.0833645209580812]], 'ys': [[0.38461538461538464, 1.6153846153846154, 144.3846153846154, 142.53846153846155], [142.53846153846155, 144.3846153846154, 286.53846153846155, 284.6923076923077]]}",0,"(0, 1800)",0.193225986,0.811771238,1369.891551,98.66248109
12,ms11-14_2021-06-14 12-13-52.mkv,99,TRUE,0.9,50,1950,"{'xs': [[0.9516279940119733, 141.6103106287425, 139.8737836826347, 4.424681886227542], [4.424681886227542, 139.8737836826347, 140.7420471556886, 0.0833645209580812]], 'ys': [[0.38461538461538464, 1.6153846153846154, 144.3846153846154, 142.53846153846155], [142.53846153846155, 144.3846153846154, 286.53846153846155, 284.6923076923077]]}",1,"(1800, 3600)",0.144364242,0.85896724,1019.346218,73.41546626
12,ms11-14_2021-06-14 12-13-52.mkv,99,TRUE,0.9,50,1950,"{'xs': [[0.9516279940119733, 141.6103106287425, 139.8737836826347, 4.424681886227542], [4.424681886227542, 139.8737836826347, 140.7420471556886, 0.0833645209580812]], 'ys': [[0.38461538461538464, 1.6153846153846154, 144.3846153846154, 142.53846153846155], [142.53846153846155, 144.3846153846154, 286.53846153846155, 284.6923076923077]]}",2,"(3600, 5400)",0.008328706,0.992226541,700.2656103,50.43460737
12,ms11-14_2021-06-14 12-13-52.mkv,99,TRUE,0.9,50,1950,"{'xs': [[0.9516279940119733, 141.6103106287425, 139.8737836826347, 4.424681886227542], [4.424681886227542, 139.8737836826347, 140.7420471556886, 0.0833645209580812]], 'ys': [[0.38461538461538464, 1.6153846153846154, 144.3846153846154, 142.53846153846155], [142.53846153846155, 144.3846153846154, 286.53846153846155, 284.6923076923077]]}",3,"(5400, 7200)",0.008328706,0.995558023,726.0889446,52.29445841
12,ms11-14_2021-06-14 12-13-52.mkv,99,TRUE,0.9,50,1950,"{'xs': [[0.9516279940119733, 141.6103106287425, 139.8737836826347, 4.424681886227542], [4.424681886227542, 139.8737836826347, 140.7420471556886, 0.0833645209580812]], 'ys': [[0.38461538461538464, 1.6153846153846154, 144.3846153846154, 142.53846153846155], [142.53846153846155, 144.3846153846154, 286.53846153846155, 284.6923076923077]]}",4,"(7200, 9000)",0,1,691.0402375,49.77017654
13,ms11-14_2021-06-14 12-13-52.mkv,99,TRUE,0.9,50,1950,"{'xs': [[1.831818181818184, 140.59545454545457, 136.2318181818182, 2.704545454545457], [2.704545454545457, 136.2318181818182, 138.85000000000002, 1.831818181818184]], 'ys': [[1.0086729074889655, 1.6276156387664986, 139.65184471365637, 139.03290198237883], [139.03290198237883, 139.65184471365637, 279.53290198237886, 279.53290198237886]]}",0,"(0, 1800)",0.081621321,0.919489173,1361.847594,101.1492039
13,ms11-14_2021-06-14 12-13-52.mkv,99,TRUE,0.9,50,1950,"{'xs': [[1.831818181818184, 140.59545454545457, 136.2318181818182, 2.704545454545457], [2.704545454545457, 136.2318181818182, 138.85000000000002, 1.831818181818184]], 'ys': [[1.0086729074889655, 1.6276156387664986, 139.65184471365637, 139.03290198237883], [139.03290198237883, 139.65184471365637, 279.53290198237886, 279.53290198237886]]}",1,"(1800, 3600)",0.343142699,0.656857301,1364.302769,101.3315584
13,ms11-14_2021-06-14 12-13-52.mkv,99,TRUE,0.9,50,1950,"{'xs': [[1.831818181818184, 140.59545454545457, 136.2318181818182, 2.704545454545457], [2.704545454545457, 136.2318181818182, 138.85000000000002, 1.831818181818184]], 'ys': [[1.0086729074889655, 1.6276156387664986, 139.65184471365637, 139.03290198237883], [139.03290198237883, 139.65184471365637, 279.53290198237886, 279.53290198237886]]}",2,"(3600, 5400)",0.088284287,0.911715713,992.1275625,73.68879862
13,ms11-14_2021-06-14 12-13-52.mkv,99,TRUE,0.9,50,1950,"{'xs': [[1.831818181818184, 140.59545454545457, 136.2318181818182, 2.704545454545457], [2.704545454545457, 136.2318181818182, 138.85000000000002, 1.831818181818184]], 'ys': [[1.0086729074889655, 1.6276156387664986, 139.65184471365637, 139.03290198237883], [139.03290198237883, 139.65184471365637, 279.53290198237886, 279.53290198237886]]}",3,"(5400, 7200)",0.100499722,0.902276513,870.4127385,64.64861116
13,ms11-14_2021-06-14 12-13-52.mkv,99,TRUE,0.9,50,1950,"{'xs': [[1.831818181818184, 140.59545454545457, 136.2318181818182, 2.704545454545457], [2.704545454545457, 136.2318181818182, 138.85000000000002, 1.831818181818184]], 'ys': [[1.0086729074889655, 1.6276156387664986, 139.65184471365637, 139.03290198237883], [139.03290198237883, 139.65184471365637, 279.53290198237886, 279.53290198237886]]}",4,"(7200, 9000)",0.328151027,0.673514714,951.7152689,70.68723564
14,ms11-14_2021-06-14 12-13-52.mkv,99,TRUE,0.9,50,1950,"{'xs': [[2.704545454545457, 139.7227272727273, 139.7227272727273, 4.450000000000002], [3.5772727272727294, 140.59545454545457, 137.10454545454547, 1.831818181818184]], 'ys': [[1.6276156387664986, 1.0086729074889655, 137.79501651982378, 139.03290198237883], [143.36550110132157, 142.74655837004403, 277.0571310572687, 278.9139592511013]]}",0,"(0, 1800)",0.08051083,0.90893948,1359.51096,98.9193867
14,ms11-14_2021-06-14 12-13-52.mkv,99,TRUE,0.9,50,1950,"{'xs': [[2.704545454545457, 139.7227272727273, 139.7227272727273, 4.450000000000002], [3.5772727272727294, 140.59545454545457, 137.10454545454547, 1.831818181818184]], 'ys': [[1.6276156387664986, 1.0086729074889655, 137.79501651982378, 139.03290198237883], [143.36550110132157, 142.74655837004403, 277.0571310572687, 278.9139592511013]]}",1,"(1800, 3600)",0.3431427,0.65408107,1364.89344,99.3110217
14,ms11-14_2021-06-14 12-13-52.mkv,99,TRUE,0.9,50,1950,"{'xs': [[2.704545454545457, 139.7227272727273, 139.7227272727273, 4.450000000000002], [3.5772727272727294, 140.59545454545457, 137.10454545454547, 1.831818181818184]], 'ys': [[1.6276156387664986, 1.0086729074889655, 137.79501651982378, 139.03290198237883], [143.36550110132157, 142.74655837004403, 277.0571310572687, 278.9139592511013]]}",2,"(3600, 5400)",0.08828429,0.90949473,992.52711,72.2172724
