Animal,testnum,File,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,bin,range(f),DstFrmCnt_in,Distance_px,Distance_in
4,2,OF2_04_2022-12-05 11-54-08.mkv,99,TRUE,0.7,50,900,2,"(3600, 5400)",6.421860237,3194.819282,215.5825065
4,2,OF2_04_2022-12-05 11-54-08.mkv,99,TRUE,0.7,50,900,3,"(5400, 7200)",6.70408366,2663.799238,179.749922
4,2,OF2_04_2022-12-05 11-54-08.mkv,99,TRUE,0.7,50,900,4,"(7200, 9000)",6.222909056,2408.952014,162.5531422
5,1,OF1_05_2022-11-28 13-57-05.mkv,99,TRUE,0.7,50,1260,0,"(0, 1800)",8.004889967,2392.13602,244.517048
5,1,OF1_05_2022-11-28 13-57-05.mkv,99,TRUE,0.7,50,1260,1,"(1800, 3600)",7.502298383,1866.895291,190.8284989
5,1,OF1_05_2022-11-28 13-57-05.mkv,99,TRUE,0.7,50,1260,2,"(3600, 5400)",7.241379251,1513.162616,154.670994
5,1,OF1_05_2022-11-28 13-57-05.mkv,99,TRUE,0.7,50,1260,3,"(5400, 7200)",6.859769119,1748.430316,178.7193605
5,1,OF1_05_2022-11-28 13-57-05.mkv,99,TRUE,0.7,50,1260,4,"(7200, 9000)",7.39085166,1689.002414,172.6448166
5,2,OF2_05_2022-12-05 12-03-03.mkv,99,TRUE,0.7,50,900,0,"(0, 1800)",7.620884643,3891.343749,262.5831276
5,2,OF2_05_2022-12-05 12-03-03.mkv,99,TRUE,0.7,50,900,1,"(1800, 3600)",7.278845282,2809.541156,189.5844087
5,2,OF2_05_2022-12-05 12-03-03.mkv,99,TRUE,0.7,50,900,2,"(3600, 5400)",5.801899582,2252.365973,151.9869073
5,2,OF2_05_2022-12-05 12-03-03.mkv,99,TRUE,0.7,50,900,3,"(5400, 7200)",7.341744149,2206.892999,148.9184465
5,2,OF2_05_2022-12-05 12-03-03.mkv,99,TRUE,0.7,50,900,4,"(7200, 9000)",7.136903054,2060.838866,139.0628919
6,1,OF1_06_2022-11-28 14-10-23.mkv,99,TRUE,0.7,50,1200,0,"(0, 1800)",8.04566786,946.5856179,95.53953689
6,1,OF1_06_2022-11-28 14-10-23.mkv,99,TRUE,0.7,50,1200,1,"(1800, 3600)",8.308304891,305.0049536,30.78435956
6,1,OF1_06_2022-11-28 14-10-23.mkv,99,TRUE,0.7,50,1200,2,"(3600, 5400)",8.30627927,955.4299417,96.43220057
6,1,OF1_06_2022-11-28 14-10-23.mkv,99,TRUE,0.7,50,1200,3,"(5400, 7200)",8.391699337,640.4280233,64.63884048
